"class","start_time","end_time","duration","final_size","ptEI","ptI","psEI","psI","hit","hit_time","rt_at_hit","r0","spectral_gap","epsilon","switch_rate","residence_time"
3,0,719.647976531769,719.647976531769,0.174799822977037,192.612840856057,194.212947529835,0.0045997053156452,0.0026973661372374,NA,NA,NA,NA,NA,0.1,1,1
4,0,720.848056537102,720.848056537102,0.174801340872902,192.412827521835,194.212947529835,0.00488834770917367,0.00274981202678983,NA,NA,NA,NA,NA,0.1,1,1
5,0,724.048269884659,724.048269884659,0.174805261522196,191.812787519168,193.812920861391,0.00568778779922727,0.00289505354071567,NA,NA,NA,NA,NA,0.1,1,1
-1,0,830.455363690913,830.455363690913,0.174950580287172,192.412827521835,194.212947529835,0.00478230091214033,0.00273230446648271,NA,NA,NA,1.2210754704956,1.17607655467386,0.15,1,1
1,0,718.047869857991,718.047869857991,0.174879463471121,193.012867524502,194.412960864058,0.004293609617701,0.00264350491205348,NA,NA,NA,NA,NA,0.15,1,1
2,0,718.647909860657,718.647909860657,0.174880240518117,192.812854190279,194.212947529835,0.00442738632977994,0.00266781364973586,NA,NA,NA,NA,NA,0.15,1,1
3,0,719.247949863324,719.247949863324,0.174881013359696,192.612840856057,194.212947529835,0.00460332149211137,0.0026997841561487,NA,NA,NA,NA,NA,0.15,1,1
4,0,720.64804320288,720.64804320288,0.174882782778495,192.412827521835,194.212947529835,0.00489222546386277,0.00275227671971362,NA,NA,NA,NA,NA,0.15,1,1
5,0,723.848256550437,723.848256550437,0.174886701141694,191.812787519168,193.812920861391,0.00569523402347926,0.00289816729646954,NA,NA,NA,NA,NA,0.15,1,1
-1,0,830.25535035669,830.25535035669,0.175032359478742,192.412827521835,194.212947529835,0.00478684712554335,0.00273490054443076,NA,NA,NA,1.22231063392391,1.16235515664791,0.2,1,1
1,0,717.847856523768,717.847856523768,0.174961308162456,193.012867524502,194.412960864058,0.00429756899894487,0.00264599461300639,NA,NA,NA,NA,NA,0.2,1,1
2,0,718.447896526435,718.447896526435,0.174962084715482,192.812854190279,194.212947529835,0.00443112967788398,0.00267026539928848,NA,NA,NA,NA,NA,0.2,1,1
3,0,719.047936529102,719.047936529102,0.174962857066305,192.612840856057,194.212947529835,0.00460695742908464,0.00270221570829273,NA,NA,NA,NA,NA,0.2,1,1
4,0,720.248016534436,720.248016534436,0.174964377525821,192.412827521835,194.012934195613,0.00489612150632012,0.00275475549128128,NA,NA,NA,NA,NA,0.2,1,1
5,0,723.648243216214,723.648243216214,0.174968541393416,191.612774184946,193.812920861391,0.00570272897272607,0.00290129928847348,NA,NA,NA,NA,NA,0.2,1,1
-1,0,829.855323688246,829.855323688246,0.175114491464971,192.412827521835,194.012934195613,0.00479141909019351,0.00273751176356395,NA,NA,NA,1.22357201265555,1.14868277864513,0.25,1,1
1,0,717.447829855324,717.447829855324,0.175043299462926,192.812854190279,194.212947529835,0.00430155141808286,0.00264849934553175,NA,NA,NA,NA,NA,0.25,1,1
2,0,718.047869857991,718.047869857991,0.175044077776155,192.812854190279,194.212947529835,0.00443489460130513,0.0026727311069657,NA,NA,NA,NA,NA,0.25,1,1
3,0,718.84792319488,718.84792319488,0.175045104740881,192.612840856057,194.212947529835,0.00461061330023498,0.00270466091392273,NA,NA,NA,NA,NA,0.25,1,1
4,0,720.048003200213,720.048003200213,0.175046624227756,192.212814187613,194.012934195613,0.00490003783372063,0.00275724881939585,NA,NA,NA,NA,NA,0.25,1,1
5,0,723.24821654777,723.24821654777,0.175050549252182,191.612774184946,193.812920861391,0.00571027168269789,0.002904449684074,NA,NA,NA,NA,NA,0.25,1,1
-1,0,829.655310354024,829.655310354024,0.175197079339344,192.412827521835,194.012934195613,0.00479601703644736,0.00274013941510932,NA,NA,NA,1.22486047536585,1.13506109900971,0.3,1,1
