"epsilon","switch_rate","res_time","variable","panel","value","epsilon_fac","exp_res_fac"
0.25,0.0405594405594406,24.6551724137931,"ptI","diff",6.10426695113007,"0.25","24.66"
0.3,0.0405594405594406,24.6551724137931,"ptI","diff",5.10420028001866,"0.3","24.66"
0.35,0.0405594405594406,24.6551724137931,"ptI","diff",4.30414694312954,"0.35","24.66"
0.4,0.0405594405594406,24.6551724137931,"ptI","diff",3.30408027201813,"0.4","24.66"
0.45,0.0405594405594406,24.6551724137931,"ptI","diff",2.30401360090672,"0.45","24.66"
0.5,0.0405594405594406,24.6551724137931,"ptI","diff",1.30394692979532,"0.5","24.66"
0.55,0.0405594405594406,24.6551724137931,"ptI","diff",0.503893592906188,"0.55","24.66"
0.6,0.0405594405594406,24.6551724137931,"ptI","diff",-0.496173078205217,"0.6","24.66"
0.65,0.0405594405594406,24.6551724137931,"ptI","diff",-1.49623974931663,"0.65","24.66"
0.7,0.0405594405594406,24.6551724137931,"ptI","diff",-2.49630642042803,"0.7","24.66"
0.75,0.0405594405594406,24.6551724137931,"ptI","diff",-3.49637309153944,"0.75","24.66"
0.8,0.0405594405594406,24.6551724137931,"ptI","diff",-4.49643976265085,"0.8","24.66"
0.85,0.0405594405594406,24.6551724137931,"ptI","diff",-5.69651976798454,"0.85","24.66"
0.9,0.0405594405594406,24.6551724137931,"ptI","diff",-6.69658643909595,"0.9","24.66"
0.95,0.0405594405594406,24.6551724137931,"ptI","diff",-7.89666644442963,"0.95","24.66"
1,0.0405594405594406,24.6551724137931,"ptI","diff",-9.29675978398561,"1","24.66"
0,0.0379581151832461,26.3448275862069,"ptI","diff",10.1045336355757,"0","26.34"
0.05,0.0379581151832461,26.3448275862069,"ptI","diff",9.10446696446429,"0.05","26.34"
0.1,0.0379581151832461,26.3448275862069,"ptI","diff",8.30441362757517,"0.1","26.34"
0.15,0.0379581151832461,26.3448275862069,"ptI","diff",7.30434695646376,"0.15","26.34"
0.2,0.0379581151832461,26.3448275862069,"ptI","diff",6.30428028535235,"0.2","26.34"
0.25,0.0379581151832461,26.3448275862069,"ptI","diff",5.50422694846323,"0.25","26.34"
0.3,0.0379581151832461,26.3448275862069,"ptI","diff",4.50416027735182,"0.3","26.34"
0.35,0.0379581151832461,26.3448275862069,"ptI","diff",3.50409360624041,"0.35","26.34"
0.4,0.0379581151832461,26.3448275862069,"ptI","diff",2.70404026935128,"0.4","26.34"
0.45,0.0379581151832461,26.3448275862069,"ptI","diff",1.70397359823988,"0.45","26.34"
0.5,0.0379581151832461,26.3448275862069,"ptI","diff",0.703906927128472,"0.5","26.34"
0.55,0.0379581151832461,26.3448275862069,"ptI","diff",-0.29615974398294,"0.55","26.34"
0.6,0.0379581151832461,26.3448275862069,"ptI","diff",-1.29622641509435,"0.6","26.34"
0.65,0.0379581151832461,26.3448275862069,"ptI","diff",-2.09627975198347,"0.65","26.34"
0.7,0.0379581151832461,26.3448275862069,"ptI","diff",-3.09634642309488,"0.7","26.34"
0.75,0.0379581151832461,26.3448275862069,"ptI","diff",-4.09641309420628,"0.75","26.34"
0.8,0.0379581151832461,26.3448275862069,"ptI","diff",-5.29649309953997,"0.8","26.34"
0.85,0.0379581151832461,26.3448275862069,"ptI","diff",-6.29655977065138,"0.85","26.34"
0.9,0.0379581151832461,26.3448275862069,"ptI","diff",-7.49663977598507,"0.9","26.34"
0.95,0.0379581151832461,26.3448275862069,"ptI","diff",-8.69671978131876,"0.95","26.34"
1,0.0379581151832461,26.3448275862069,"ptI","diff",-9.89679978665245,"1","26.34"
0,0.035670356703567,28.0344827586207,"ptI","diff",9.50449363290886,"0","28.03"
0.05,0.035670356703567,28.0344827586207,"ptI","diff",8.50442696179745,"0.05","28.03"
0.1,0.035670356703567,28.0344827586207,"ptI","diff",7.70437362490833,"0.1","28.03"
0.15,0.035670356703567,28.0344827586207,"ptI","diff",6.70430695379692,"0.15","28.03"
0.2,0.035670356703567,28.0344827586207,"ptI","diff",5.7042402826855,"0.2","28.03"
0.25,0.035670356703567,28.0344827586207,"ptI","diff",4.90418694579638,"0.25","28.03"
0.3,0.035670356703567,28.0344827586207,"ptI","diff",3.90412027468497,"0.3","28.03"
0.35,0.035670356703567,28.0344827586207,"ptI","diff",2.90405360357357,"0.35","28.03"
0.4,0.035670356703567,28.0344827586207,"ptI","diff",2.10400026668444,"0.4","28.03"
0.45,0.035670356703567,28.0344827586207,"ptI","diff",1.10393359557303,"0.45","28.03"
0.5,0.035670356703567,28.0344827586207,"ptI","diff",0.103866924461627,"0.5","28.03"
0.55,0.035670356703567,28.0344827586207,"ptI","diff",-0.896199746649785,"0.55","28.03"
0.6,0.035670356703567,28.0344827586207,"ptI","diff",-1.69625308353891,"0.6","28.03"
0.65,0.035670356703567,28.0344827586207,"ptI","diff",-2.69631975465032,"0.65","28.03"
0.7,0.035670356703567,28.0344827586207,"ptI","diff",-3.69638642576172,"0.7","28.03"
0.75,0.035670356703567,28.0344827586207,"ptI","diff",-4.69645309687313,"0.75","28.03"
0.8,0.035670356703567,28.0344827586207,"ptI","diff",-5.69651976798454,"0.8","28.03"
0.85,0.035670356703567,28.0344827586207,"ptI","diff",-6.89659977331823,"0.85","28.03"
0.9,0.035670356703567,28.0344827586207,"ptI","diff",-7.89666644442963,"0.9","28.03"
0.95,0.035670356703567,28.0344827586207,"ptI","diff",-9.29675978398561,"0.95","28.03"
1,0.035670356703567,28.0344827586207,"ptI","diff",-10.4968397893193,"1","28.03"
0,0.0336426914153132,29.7241379310345,"ptI","diff",8.90445363024202,"0","29.72"
0.05,0.0336426914153132,29.7241379310345,"ptI","diff",7.9043869591306,"0.05","29.72"
0.1,0.0336426914153132,29.7241379310345,"ptI","diff",7.10433362224148,"0.1","29.72"
0.15,0.0336426914153132,29.7241379310345,"ptI","diff",6.10426695113007,"0.15","29.72"
0.2,0.0336426914153132,29.7241379310345,"ptI","diff",5.30421361424094,"0.2","29.72"
0.25,0.0336426914153132,29.7241379310345,"ptI","diff",4.30414694312954,"0.25","29.72"
