ξ,ε,residence_time,R0,p_ext
0.06451612903225806,0.0,15.5,0.9637580668334236,0.948
0.06451612903225806,0.1111111111111111,15.5,0.9728725633402865,0.939
0.06451612903225806,0.2222222222222222,15.5,0.9836519009853955,0.94
0.06451612903225806,0.3333333333333333,15.5,0.9965902638731622,0.936
0.06451612903225806,0.4444444444444444,15.5,1.0123787539532907,0.919
0.06451612903225806,0.5555555555555556,15.5,1.0319884322757098,0.927
0.06451612903225806,0.6666666666666666,15.5,1.0567642098131158,0.919
0.06451612903225806,0.7777777777777778,15.5,1.0884714206864416,0.908
0.06451612903225806,0.8888888888888888,15.5,1.1291421417614795,0.916
0.06451612903225806,1.0,15.5,1.1805197991947882,0.885
0.08421052631578947,0.0,11.875,0.9559727626717146,0.957
0.08421052631578947,0.1111111111111111,11.875,0.9638958440816466,0.956
0.08421052631578947,0.2222222222222222,11.875,0.9731751907639432,0.95
0.08421052631578947,0.3333333333333333,11.875,0.9841902399098703,0.953
0.08421052631578947,0.4444444444444444,11.875,0.9974652242609641,0.948
0.08421052631578947,0.5555555555555556,11.875,1.0137311636576432,0.94
0.08421052631578947,0.6666666666666666,11.875,1.0340042174586122,0.947
0.08421052631578947,0.7777777777777778,11.875,1.05965656616856,0.94
0.08421052631578947,0.8888888888888888,11.875,1.0923989321849659,0.932
0.08421052631578947,1.0,11.875,1.134014286879086,0.918
0.12121212121212122,0.0,8.25,0.9439275751007685,0.955
0.12121212121212122,0.1111111111111111,8.25,0.9501636157918597,0.958
0.12121212121212122,0.2222222222222222,8.25,0.9573536187204602,0.958
0.12121212121212122,0.3333333333333333,8.25,0.9657377894100181,0.96
0.12121212121212122,0.4444444444444444,8.25,0.9756404440988924,0.961
0.12121212121212122,0.5555555555555556,8.25,0.9875052424987419,0.947
0.12121212121212122,0.6666666666666666,8.25,1.0019437642865419,0.942
0.12121212121212122,0.7777777777777778,8.25,1.0197954956881796,0.949
0.12121212121212122,0.8888888888888888,8.25,1.042180858326128,0.954
0.12121212121212122,1.0,8.25,1.0704890427951101,0.949
0.21621621621621623,0.0,4.625,0.9228093890997592,0.968
0.21621621621621623,0.1111111111111111,4.625,0.9265568255967818,0.974
0.21621621621621623,0.2222222222222222,4.625,0.9307534935111033,0.966
0.21621621621621623,0.3333333333333333,4.625,0.9354887262327072,0.968
0.21621621621621623,0.4444444444444444,4.625,0.9408770762146732,0.974
0.21621621621621623,0.5555555555555556,4.625,0.9470673794697633,0.967
0.21621621621621623,0.6666666666666666,4.625,0.9542555285027982,0.964
0.21621621621621623,0.7777777777777778,4.625,0.9627023377153374,0.969
0.21621621621621623,0.8888888888888888,4.625,0.9727578638577188,0.967
0.21621621621621623,1.0,4.625,0.9848923204642812,0.967
1.0,0.0,1.0,0.8761733950141973,0.986
1.0,0.1111111111111111,1.0,0.8766322456185097,0.976
1.0,0.2222222222222222,1.0,0.877110636137376,0.977
1.0,0.3333333333333333,1.0,0.8776099456342474,0.983
1.0,0.4444444444444444,1.0,0.8781316918940099,0.983
1.0,0.5555555555555556,1.0,0.8786775496610525,0.986
1.0,0.6666666666666666,1.0,0.879249371844316,0.98
1.0,0.7777777777777778,1.0,0.8798492142644962,0.982
1.0,0.8888888888888888,1.0,0.8804793646478383,0.987
1.0,1.0,1.0,0.8811423767329494,0.979
0.0,0.0,Inf,0.9999999999999997,0.924
0.0,0.1111111111111111,Inf,1.0156690755845739,0.906
0.0,0.2222222222222222,Inf,1.0349865889998349,0.901
0.0,0.3333333333333333,Inf,1.0592810064247489,0.887
0.0,0.4444444444444444,Inf,1.090456740251065,0.863
0.0,0.5555555555555556,Inf,1.1311240806925007,0.836
0.0,0.6666666666666666,Inf,1.1844318314527436,0.827
0.0,0.7777777777777778,Inf,1.2531687695635165,0.773
0.0,0.8888888888888888,Inf,1.338221795188558,0.742
0.0,1.0,Inf,1.4378231753653576,0.693
